지역,연도,평균가격
서울,2006,521.3
도심권,2006,562.6
동북권,2006,295.0
동남권,2006,763.9
서북권,2006,376.2
서남권,2006,416.4
부산,2006,151.2
대구,2006,174.0
인천,2006,177.0
광주,2006,115.5
대전,2006,188.0
울산,2006,127.2
경기,2006,308.7
강원,2006,100.6
충북,2006,118.4
충남,2006,131.9
전북,2006,90.1
전남,2006,73.9
경북,2006,95.1
경남,2006,142.7
제주,2006,114.9
서울,2006,471.6
도심권,2006,540.7
동북권,2006,300.4
동남권,2006,760.0
서북권,2006,350.8
서남권,2006,398.4
부산,2006,153.1
대구,2006,169.7
인천,2006,174.1
광주,2006,112.9
대전,2006,178.3
울산,2006,124.7
경기,2006,273.4
강원,2006,101.8
충북,2006,120.2
충남,2006,129.0
전북,2006,89.6
전남,2006,72.5
경북,2006,97.3
경남,2006,130.1
제주,2006,107.8
서울,2006,501.2
도심권,2006,551.6
동북권,2006,310.1
동남권,2006,813.4
서북권,2006,368.7
서남권,2006,406.8
부산,2006,150.1
대구,2006,166.8
인천,2006,176.3
광주,2006,113.3
대전,2006,173.8
울산,2006,124.9
경기,2006,286.9
강원,2006,100.1
충북,2006,119.1
충남,2006,124.4
전북,2006,86.8
전남,2006,71.6
경북,2006,97.3
경남,2006,132.9
제주,2006,112.4
서울,2006,451.1
도심권,2006,534.3
동북권,2006,307.9
동남권,2006,758.6
서북권,2006,364.6
서남권,2006,380.1
부산,2006,146.1
대구,2006,166.2
인천,2006,179.9
광주,2006,115.0
대전,2006,180.6
울산,2006,130.7
경기,2006,275.2
강원,2006,100.8
충북,2006,113.5
충남,2006,126.3
전북,2006,89.1
전남,2006,73.1
경북,2006,96.9
경남,2006,124.8
제주,2006,109.9
서울,2006,418.3
도심권,2006,516.5
동북권,2006,311.2
동남권,2006,697.1
서북권,2006,364.4
서남권,2006,363.9
부산,2006,144.9
대구,2006,164.2
인천,2006,180.0
광주,2006,110.8
대전,2006,176.1
울산,2006,133.6
경기,2006,268.7
강원,2006,99.8
충북,2006,111.8
충남,2006,121.7
전북,2006,88.0
전남,2006,74.0
경북,2006,97.2
경남,2006,123.7
제주,2006,109.5
서울,2006,382.0
도심권,2006,479.2
동북권,2006,301.9
동남권,2006,652.5
서북권,2006,345.9
서남권,2006,345.6
부산,2006,142.8
대구,2006,162.7
인천,2006,183.4
광주,2006,111.3
대전,2006,164.8
울산,2006,132.4
경기,2006,248.8
강원,2006,96.9
충북,2006,124.3
충남,2006,123.6
전북,2006,89.0
전남,2006,76.0
경북,2006,99.3
경남,2006,123.7
제주,2006,126.3
서울,2006,372.3
도심권,2006,473.3
동북권,2006,301.7
동남권,2006,658.5
서북권,2006,340.5
서남권,2006,346.5
부산,2006,146.8
대구,2006,162.8
인천,2006,185.9
광주,2006,112.0
대전,2006,160.0
울산,2006,130.5
경기,2006,240.1
강원,2006,99.0
충북,2006,129.7
충남,2006,127.3
전북,2006,91.0
전남,2006,77.4
경북,2006,98.1
경남,2006,123.9
제주,2006,116.0
서울,2006,389.6
도심권,2006,479.0
동북권,2006,302.6
동남권,2006,693.5
서북권,2006,365.3
서남권,2006,356.6
부산,2006,147.7
대구,2006,165.3
인천,2006,188.0
광주,2006,112.1
대전,2006,159.4
울산,2006,139.5
경기,2006,243.8
강원,2006,100.3
충북,2006,127.2
충남,2006,129.7
전북,2006,94.2
전남,2006,78.2
경북,2006,103.1
경남,2006,126.2
제주,2006,127.1
서울,2006,431.9
도심권,2006,514.4
동북권,2006,313.2
동남권,2006,757.4
서북권,2006,382.9
서남권,2006,387.2
부산,2006,147.1
대구,2006,165.0
인천,2006,187.2
광주,2006,114.7
대전,2006,168.5
울산,2006,146.8
경기,2006,265.8
강원,2006,98.4
충북,2006,123.7
충남,2006,130.2
전북,2006,93.6
전남,2006,77.0
경북,2006,101.9
경남,2006,135.2
제주,2006,120.9
서울,2006,494.3
도심권,2006,578.6
동북권,2006,330.1
동남권,2006,825.3
서북권,2006,396.8
서남권,2006,434.0
부산,2006,151.5
대구,2006,169.4
인천,2006,194.5
광주,2006,115.2
대전,2006,176.7
울산,2006,150.7
경기,2006,307.2
강원,2006,98.6
충북,2006,120.7
충남,2006,128.1
전북,2006,96.4
전남,2006,78.7
경북,2006,104.6
경남,2006,137.7
제주,2006,131.1
서울,2006,428.3
도심권,2006,553.7
동북권,2006,318.0
동남권,2006,760.8
서북권,2006,360.8
서남권,2006,403.7
부산,2006,159.8
대구,2006,173.1
인천,2006,193.3
광주,2006,116.5
대전,2006,177.3
울산,2006,159.2
경기,2006,282.0
강원,2006,95.8
충북,2006,122.8
충남,2006,130.7
전북,2006,97.1
전남,2006,78.9
경북,2006,106.3
경남,2006,157.4
제주,2006,129.1
서울,2006,450.8
도심권,2006,524.2
동북권,2006,320.5
동남권,2006,795.7
서북권,2006,381.4
서남권,2006,394.6
부산,2006,160.1
대구,2006,172.4
인천,2006,192.4
광주,2006,117.4
대전,2006,173.6
울산,2006,165.3
경기,2006,272.1
강원,2006,95.7
충북,2006,119.5
충남,2006,126.1
전북,2006,100.5
전남,2006,77.7
경북,2006,107.2
경남,2006,143.5
제주,2006,127.5
서울,2007,398.9
도심권,2007,510.6
동북권,2007,320.0
동남권,2007,664.2
서북권,2007,369.4
서남권,2007,368.5
부산,2007,155.0
대구,2007,166.1
인천,2007,192.3
광주,2007,117.4
대전,2007,161.1
울산,2007,170.6
경기,2007,250.4
강원,2007,99.3
충북,2007,120.1
충남,2007,129.9
전북,2007,100.9
전남,2007,84.2
경북,2007,103.3
경남,2007,135.6
제주,2007,122.8
서울,2007,414.7
도심권,2007,536.3
동북권,2007,324.3
동남권,2007,693.4
서북권,2007,371.2
서남권,2007,381.6
부산,2007,156.0
대구,2007,163.0
인천,2007,194.4
광주,2007,117.6
대전,2007,156.5
울산,2007,163.6
경기,2007,251.5
강원,2007,100.4
충북,2007,121.5
충남,2007,129.3
전북,2007,99.4
전남,2007,83.4
경북,2007,106.4
경남,2007,131.6
제주,2007,121.6
서울,2007,410.2
도심권,2007,520.9
동북권,2007,327.7
동남권,2007,708.4
서북권,2007,384.2
서남권,2007,393.8
부산,2007,156.7
대구,2007,162.7
인천,2007,193.2
광주,2007,115.1
대전,2007,155.8
울산,2007,161.7
경기,2007,252.8
강원,2007,97.7
충북,2007,117.6
충남,2007,127.8
전북,2007,96.7
전남,2007,82.0
경북,2007,104.4
경남,2007,129.7
제주,2007,120.1
서울,2007,421.8
도심권,2007,585.4
동북권,2007,332.7
동남권,2007,712.5
서북권,2007,371.5
서남권,2007,407.8
부산,2007,151.7
대구,2007,162.1
인천,2007,201.8
광주,2007,115.7
대전,2007,164.5
울산,2007,169.1
경기,2007,259.5
강원,2007,98.1
충북,2007,117.4
충남,2007,128.1
전북,2007,97.0
전남,2007,80.5
경북,2007,104.8
경남,2007,129.6
제주,2007,124.7
서울,2007,465.0
도심권,2007,576.1
동북권,2007,335.9
동남권,2007,801.1
서북권,2007,372.5
서남권,2007,419.2
부산,2007,149.6
대구,2007,162.4
인천,2007,207.0
광주,2007,113.9
대전,2007,153.4
울산,2007,155.8
경기,2007,271.2
강원,2007,96.8
충북,2007,112.0
충남,2007,127.9
전북,2007,95.0
전남,2007,78.2
경북,2007,102.5
경남,2007,126.7
제주,2007,137.0
서울,2007,486.0
도심권,2007,611.1
동북권,2007,354.5
동남권,2007,814.3
서북권,2007,395.7
서남권,2007,437.5
부산,2007,156.7
대구,2007,164.2
인천,2007,213.1
광주,2007,117.7
대전,2007,165.3
울산,2007,165.1
경기,2007,283.7
강원,2007,98.4
충북,2007,129.5
충남,2007,133.5
전북,2007,97.1
전남,2007,82.4
경북,2007,105.9
경남,2007,137.1
제주,2007,120.7
서울,2007,454.8
도심권,2007,586.8
동북권,2007,354.4
동남권,2007,772.1
서북권,2007,411.0
서남권,2007,422.6
부산,2007,160.7
대구,2007,166.7
인천,2007,219.2
광주,2007,117.9
대전,2007,162.0
울산,2007,167.2
경기,2007,274.4
강원,2007,98.9
충북,2007,121.4
충남,2007,131.2
전북,2007,100.1
전남,2007,86.1
경북,2007,107.3
경남,2007,173.9
제주,2007,127.1
서울,2007,445.0
도심권,2007,613.7
동북권,2007,360.4
동남권,2007,724.5
서북권,2007,401.1
서남권,2007,420.8
부산,2007,157.8
대구,2007,165.3
인천,2007,224.9
광주,2007,117.7
대전,2007,158.4
울산,2007,164.8
경기,2007,271.7
강원,2007,100.7
충북,2007,114.9
충남,2007,125.3
전북,2007,98.2
전남,2007,84.0
경북,2007,106.9
경남,2007,137.2
제주,2007,132.4
서울,2007,463.0
도심권,2007,606.2
동북권,2007,368.7
동남권,2007,794.2
서북권,2007,413.7
서남권,2007,432.7
부산,2007,158.6
대구,2007,166.0
인천,2007,228.7
광주,2007,119.5
대전,2007,162.2
울산,2007,166.6
경기,2007,283.0
강원,2007,102.6
충북,2007,118.6
충남,2007,133.5
전북,2007,98.5
전남,2007,84.4
경북,2007,111.6
경남,2007,141.4
제주,2007,138.6
서울,2007,470.0
도심권,2007,602.3
동북권,2007,375.4
동남권,2007,780.5
서북권,2007,424.8
서남권,2007,442.2
부산,2007,158.1
대구,2007,168.3
인천,2007,237.6
광주,2007,119.9
대전,2007,163.2
울산,2007,163.3
경기,2007,287.2
강원,2007,103.6
