지역,연도,평균가격
전국,2006,294.6
수도권,2006,383.7
지방,2006,131.8
서울,2006,521.3
서울,2006,562.6
서울,2006,295.0
서울,2006,763.9
서울,2006,376.2
서울,2006,416.4
광역시,2006,151.2
광역시,2006,174.0
광역시,2006,177.0
광역시,2006,115.5
광역시,2006,188.0
광역시,2006,127.2
도,2006,308.7
도,2006,100.6
도,2006,118.4
도,2006,131.9
도,2006,90.1
도,2006,73.9
도,2006,95.1
도,2006,142.7
도,2006,114.9
전국,2006,248.2
수도권,2006,333.6
지방,2006,127.9
서울,2006,471.6
서울,2006,540.7
서울,2006,300.4
서울,2006,760.0
서울,2006,350.8
서울,2006,398.4
광역시,2006,153.1
광역시,2006,169.7
광역시,2006,174.1
광역시,2006,112.9
광역시,2006,178.3
광역시,2006,124.7
도,2006,273.4
도,2006,101.8
도,2006,120.2
도,2006,129.0
도,2006,89.6
도,2006,72.5
도,2006,97.3
도,2006,130.1
도,2006,107.8
전국,2006,269.4
수도권,2006,355.5
지방,2006,127.1
서울,2006,501.2
서울,2006,551.6
서울,2006,310.1
서울,2006,813.4
서울,2006,368.7
서울,2006,406.8
광역시,2006,150.1
광역시,2006,166.8
광역시,2006,176.3
광역시,2006,113.3
광역시,2006,173.8
광역시,2006,124.9
도,2006,286.9
도,2006,100.1
도,2006,119.1
도,2006,124.4
도,2006,86.8
도,2006,71.6
도,2006,97.3
도,2006,132.9
도,2006,112.4
전국,2006,251.9
수도권,2006,324.1
지방,2006,125.8
서울,2006,451.1
서울,2006,534.3
서울,2006,307.9
서울,2006,758.6
서울,2006,364.6
서울,2006,380.1
광역시,2006,146.1
광역시,2006,166.2
광역시,2006,179.9
광역시,2006,115.0
광역시,2006,180.6
광역시,2006,130.7
도,2006,275.2
도,2006,100.8
도,2006,113.5
도,2006,126.3
도,2006,89.1
도,2006,73.1
도,2006,96.9
도,2006,124.8
도,2006,109.9
전국,2006,240.3
수도권,2006,305.5
지방,2006,123.6
서울,2006,418.3
서울,2006,516.5
서울,2006,311.2
서울,2006,697.1
서울,2006,364.4
서울,2006,363.9
광역시,2006,144.9
광역시,2006,164.2
광역시,2006,180.0
광역시,2006,110.8
광역시,2006,176.1
광역시,2006,133.6
도,2006,268.7
도,2006,99.8
도,2006,111.8
도,2006,121.7
도,2006,88.0
도,2006,74.0
도,2006,97.2
도,2006,123.7
도,2006,109.5
전국,2006,215.2
수도권,2006,279.2
지방,2006,121.5
서울,2006,382.0
서울,2006,479.2
서울,2006,301.9
서울,2006,652.5
서울,2006,345.9
서울,2006,345.6
광역시,2006,142.8
광역시,2006,162.7
광역시,2006,183.4
광역시,2006,111.3
광역시,2006,164.8
광역시,2006,132.4
도,2006,248.8
도,2006,96.9
도,2006,124.3
도,2006,123.6
도,2006,89.0
도,2006,76.0
도,2006,99.3
도,2006,123.7
도,2006,126.3
전국,2006,212.7
수도권,2006,273.1
지방,2006,122.9
서울,2006,372.3
서울,2006,473.3
서울,2006,301.7
서울,2006,658.5
서울,2006,340.5
서울,2006,346.5
광역시,2006,146.8
광역시,2006,162.8
광역시,2006,185.9
광역시,2006,112.0
광역시,2006,160.0
광역시,2006,130.5
도,2006,240.1
도,2006,99.0
도,2006,129.7
도,2006,127.3
도,2006,91.0
도,2006,77.4
도,2006,98.1
도,2006,123.9
도,2006,116.0
전국,2006,226.6
수도권,2006,282.5
지방,2006,126.0
서울,2006,389.6
서울,2006,479.0
서울,2006,302.6
서울,2006,693.5
서울,2006,365.3
서울,2006,356.6
광역시,2006,147.7
광역시,2006,165.3
광역시,2006,188.0
광역시,2006,112.1
광역시,2006,159.4
광역시,2006,139.5
도,2006,243.8
도,2006,100.3
도,2006,127.2
도,2006,129.7
도,2006,94.2
도,2006,78.2
도,2006,103.1
도,2006,126.2
도,2006,127.1
전국,2006,258.9
수도권,2006,313.9
지방,2006,129.1
서울,2006,431.9
서울,2006,514.4
서울,2006,313.2
서울,2006,757.4
서울,2006,382.9
서울,2006,387.2
광역시,2006,147.1
광역시,2006,165.0
광역시,2006,187.2
광역시,2006,114.7
광역시,2006,168.5
광역시,2006,146.8
도,2006,265.8
도,2006,98.4
도,2006,123.7
도,2006,130.2
도,2006,93.6
도,2006,77.0
도,2006,101.9
도,2006,135.2
도,2006,120.9
전국,2006,306.2
수도권,2006,363.1
지방,2006,133.3
서울,2006,494.3
서울,2006,578.6
서울,2006,330.1
서울,2006,825.3
서울,2006,396.8
서울,2006,434.0
광역시,2006,151.5
광역시,2006,169.4
광역시,2006,194.5
광역시,2006,115.2
광역시,2006,176.7
광역시,2006,150.7
도,2006,307.2
도,2006,98.6
도,2006,120.7
도,2006,128.1
도,2006,96.4
도,2006,78.7
도,2006,104.6
도,2006,137.7
도,2006,131.1
전국,2006,260.9
수도권,2006,320.8
지방,2006,139.8
서울,2006,428.3
서울,2006,553.7
서울,2006,318.0
서울,2006,760.8
서울,2006,360.8
서울,2006,403.7
광역시,2006,159.8
광역시,2006,173.1
광역시,2006,193.3
광역시,2006,116.5
광역시,2006,177.3
광역시,2006,159.2
도,2006,282.0
도,2006,95.8
도,2006,122.8
도,2006,130.7
도,2006,97.1
도,2006,78.9
도,2006,106.3
도,2006,157.4
도,2006,129.1
전국,2006,242.8
수도권,2006,322.5
지방,2006,137.7
서울,2006,450.8
서울,2006,524.2
서울,2006,320.5
서울,2006,795.7
서울,2006,381.4
서울,2006,394.6
광역시,2006,160.1
광역시,2006,172.4
광역시,2006,192.4
광역시,2006,117.4
광역시,2006,173.6
광역시,2006,165.3
도,2006,272.1
도,2006,95.7
도,2006,119.5
도,2006,126.1
도,2006,100.5
도,2006,77.7
도,2006,107.2
도,2006,143.5
도,2006,127.5
전국,2007,202.6
수도권,2007,281.4
지방,2007,131.9
서울,2007,398.9
서울,2007,510.6
서울,2007,320.0
서울,2007,664.2
서울,2007,369.4
서울,2007,368.5
광역시,2007,155.0
광역시,2007,166.1
광역시,2007,192.3
광역시,2007,117.4
광역시,2007,161.1
광역시,2007,170.6
도,2007,250.4
도,2007,99.3
도,2007,120.1
도,2007,129.9
도,2007,100.9
도,2007,84.2
도,2007,103.3
도,2007,135.6
도,2007,122.8
전국,2007,200.6
수도권,2007,286.0
지방,2007,129.5
서울,2007,414.7
서울,2007,536.3
서울,2007,324.3
서울,2007,693.4
서울,2007,371.2
서울,2007,381.6
광역시,2007,156.0
광역시,2007,163.0
광역시,2007,194.4
광역시,2007,117.6
광역시,2007,156.5
광역시,2007,163.6
도,2007,251.5
도,2007,100.4
도,2007,121.5
도,2007,129.3
도,2007,99.4
도,2007,83.4
도,2007,106.4
도,2007,131.6
도,2007,121.6
전국,2007,207.4
수도권,2007,288.0
지방,2007,129.1
서울,2007,410.2
서울,2007,520.9
서울,2007,327.7
서울,2007,708.4
서울,2007,384.2
서울,2007,393.8
광역시,2007,156.7
광역시,2007,162.7
광역시,2007,193.2
광역시,2007,115.1
광역시,2007,155.8
광역시,2007,161.7
도,2007,252.8
도,2007,97.7
도,2007,117.6
도,2007,127.8
도,2007,96.7
도,2007,82.0
도,2007,104.4
도,2007,129.7
도,2007,120.1
전국,2007,209.1
수도권,2007,292.0
지방,2007,129.5
서울,2007,421.8
서울,2007,585.4
서울,2007,332.7
서울,2007,712.5
서울,2007,371.5
서울,2007,407.8
광역시,2007,151.7
광역시,2007,162.1
광역시,2007,201.8
광역시,2007,115.7
광역시,2007,164.5
광역시,2007,169.1
도,2007,259.5
도,2007,98.1
도,2007,117.4
도,2007,128.1
도,2007,97.0
도,2007,80.5
도,2007,104.8
도,2007,129.6
도,2007,124.7
전국,2007,213.3
수도권,2007,305.1
지방,2007,126.1
서울,2007,465.0
서울,2007,576.1
서울,2007,335.9
서울,2007,801.1
서울,2007,372.5
서울,2007,419.2
광역시,2007,149.6
광역시,2007,162.4
광역시,2007,207.0
광역시,2007,113.9
광역시,2007,153.4
광역시,2007,155.8
도,2007,271.2
도,2007,96.8
도,2007,112.0
도,2007,127.9
도,2007,95.0
도,2007,78.2
도,2007,102.5
도,2007,126.7
도,2007,137.0
전국,2007,241.0
수도권,2007,326.9
지방,2007,133.8
서울,2007,486.0
서울,2007,611.1
서울,2007,354.5
서울,2007,814.3
서울,2007,395.7
서울,2007,437.5
광역시,2007,156.7
광역시,2007,164.2
광역시,2007,213.1
광역시,2007,117.7
광역시,2007,165.3
광역시,2007,165.1
도,2007,283.7
도,2007,98.4
도,2007,129.5
도,2007,133.5
도,2007,97.1
도,2007,82.4
도,2007,105.9
도,2007,137.1
도,2007,120.7
전국,2007,236.6
수도권,2007,316.3
지방,2007,140.0
서울,2007,454.8
서울,2007,586.8
서울,2007,354.4
서울,2007,772.1
서울,2007,411.0
서울,2007,422.6
광역시,2007,160.7
광역시,2007,166.7
광역시,2007,219.2
광역시,2007,117.9
광역시,2007,162.0
광역시,2007,167.2
도,2007,274.4
도,2007,98.9
도,2007,121.4
도,2007,131.2
도,2007,100.1
도,2007,86.1
도,2007,107.3
도,2007,173.9
도,2007,127.1
전국,2007,227.5
수도권,2007,309.6
지방,2007,132.3
서울,2007,445.0
서울,2007,613.7
서울,2007,360.4
서울,2007,724.5
서울,2007,401.1
서울,2007,420.8
광역시,2007,157.8
광역시,2007,165.3
광역시,2007,224.9
광역시,2007,117.7
광역시,2007,158.4
광역시,2007,164.8
도,2007,271.7
도,2007,100.7
도,2007,114.9
도,2007,125.3
도,2007,98.2
도,2007,84.0
도,2007,106.9
도,2007,137.2
도,2007,132.4
전국,2007,236.2
수도권,2007,323.0
지방,2007,136.0
서울,2007,463.0
서울,2007,606.2
서울,2007,368.7
서울,2007,794.2
서울,2007,413.7
서울,2007,432.7
광역시,2007,158.6
광역시,2007,166.0
광역시,2007,228.7
광역시,2007,119.5
광역시,2007,162.2
광역시,2007,166.6
도,2007,283.0
도,2007,102.6
도,2007,118.6
도,2007,133.5
도,2007,98.5
도,2007,84.4
도,2007,111.6
도,2007,141.4
도,2007,138.6
전국,2007,235.2
수도권,2007,330.0
지방,2007,135.5
서울,2007,470.0
서울,2007,602.3
서울,2007,375.4
서울,2007,780.5
서울,2007,424.8
서울,2007,442.2
광역시,2007,158.1
광역시,2007,168.3
광역시,2007,237.6
광역시,2007,119.9
광역시,2007,163.2
광역시,2007,163.3
도,2007,287.2
도,2007,103.6
도,2007,117.7
도,2007,132.2
도,2007,99.8
도,2007,88.6
도,2007,106.6
도,2007,137.8
도,2007,133.7
전국,2007,238.2
수도권,2007,344.3
지방,2007,136.0
서울,2007,483.2
서울,2007,654.4
서울,2007,383.6
서울,2007,799.6
서울,2007,440.8
서울,2007,454.3
광역시,2007,161.5
광역시,2007,168.0
광역시,2007,241.9
광역시,2007,121.0
광역시,2007,163.3
광역시,2007,161.6
도,2007,298.8
도,2007,101.9
도,2007,119.3
도,2007,130.5
도,2007,102.6
도,2007,88.8
도,2007,106.1
도,2007,141.0
도,2007,138.5
전국,2007,247.7
수도권,2007,355.3
지방,2007,139.0
서울,2007,492.7
서울,2007,635.4
서울,2007,392.6
서울,2007,807.7
서울,2007,441.2
서울,2007,458.0
광역시,2007,165.3
광역시,2007,169.2
광역시,2007,244.7
광역시,2007,120.3
광역시,2007,169.0
광역시,2007,166.6
도,2007,304.9
도,2007,104.0
도,2007,119.9
도,2007,130.9
도,2007,108.2
도,2007,88.5
도,2007,109.1
도,2007,144.4
도,2007,135.2
전국,2008,241.3
수도권,2008,347.8
지방,2008,139.5
서울,2008,478.2
서울,2008,603.9
서울,2008,402.2
서울,2008,773.4
서울,2008,448.6
서울,2008,444.6
광역시,2008,166.9
광역시,2008,168.1
광역시,2008,246.1
광역시,2008,123.0
광역시,2008,166.0
광역시,2008,165.1
도,2008,302.3
도,2008,109.1
도,2008,125.5
도,2008,132.2
도,2008,108.5
도,2008,92.6
도,2008,109.0
도,2008,145.1
도,2008,125.4
전국,2008,248.0
수도권,2008,353.4
지방,2008,138.5
서울,2008,486.6
서울,2008,593.4
서울,2008,414.3
서울,2008,770.1
서울,2008,450.0
서울,2008,455.8
광역시,2008,167.0
광역시,2008,166.7
광역시,2008,249.2
광역시,2008,122.6
광역시,2008,161.4
광역시,2008,169.5
도,2008,302.3
도,2008,105.4
도,2008,122.0
도,2008,133.8
도,2008,104.9
도,2008,93.3
도,2008,111.3
도,2008,141.8
도,2008,134.2
전국,2008,263.5
수도권,2008,365.0
지방,2008,139.7
서울,2008,502.5
서울,2008,601.2
서울,2008,441.4
서울,2008,757.1
서울,2008,473.8
서울,2008,465.1
광역시,2008,165.8
광역시,2008,167.5
광역시,2008,256.0
광역시,2008,120.4
광역시,2008,161.0
광역시,2008,170.9
도,2008,308.3
도,2008,107.3
도,2008,124.8
도,2008,133.1
도,2008,106.9
도,2008,92.9
도,2008,110.6
도,2008,139.3
도,2008,131.1
전국,2008,273.7
수도권,2008,376.8
지방,2008,140.5
서울,2008,532.5
서울,2008,627.3
서울,2008,474.4
서울,2008,771.9
서울,2008,478.4
서울,2008,482.0
광역시,2008,170.1
광역시,2008,167.3
광역시,2008,266.6
광역시,2008,122.3
광역시,2008,161.1
광역시,2008,172.7
도,2008,318.3
도,2008,109.8
도,2008,120.0
도,2008,134.5
도,2008,108.2
도,2008,92.3
도,2008,110.9
도,2008,140.4
도,2008,143.0
전국,2008,273.3
수도권,2008,378.4
지방,2008,140.9
서울,2008,552.9
서울,2008,666.0
서울,2008,489.5
서울,2008,782.8
서울,2008,489.9
서울,2008,499.8
광역시,2008,167.4
광역시,2008,170.0
광역시,2008,276.0
광역시,2008,122.9
광역시,2008,165.8
광역시,2008,173.1
도,2008,323.1
도,2008,114.1
도,2008,121.1
도,2008,137.3
도,2008,111.2
도,2008,96.9
도,2008,107.6
도,2008,143.3
도,2008,128.2
전국,2008,261.5
수도권,2008,375.9
지방,2008,143.3
서울,2008,557.7
서울,2008,636.8
서울,2008,498.9
서울,2008,774.8
서울,2008,504.7
서울,2008,495.9
광역시,2008,169.3
광역시,2008,169.1
광역시,2008,282.7
광역시,2008,126.4
광역시,2008,164.7
광역시,2008,173.6
도,2008,325.4
도,2008,118.8
도,2008,125.4
도,2008,141.8
도,2008,113.3
도,2008,99.0
도,2008,111.0
도,2008,146.0
도,2008,147.9
전국,2008,237.2
수도권,2008,370.6
지방,2008,140.7
서울,2008,558.7
서울,2008,634.2
서울,2008,492.1
서울,2008,764.7
서울,2008,494.5
서울,2008,494.9
광역시,2008,164.1
광역시,2008,168.8
광역시,2008,287.9
광역시,2008,124.5
광역시,2008,162.8
광역시,2008,170.3
도,2008,318.8
도,2008,117.7
도,2008,125.3
도,2008,143.7
도,2008,115.4
도,2008,96.0
도,2008,110.1
도,2008,145.8
도,2008,138.9
전국,2008,221.1
수도권,2008,367.3
지방,2008,140.3
서울,2008,566.5
서울,2008,672.0
서울,2008,483.5
서울,2008,785.7
서울,2008,479.7
서울,2008,492.4
광역시,2008,165.0
광역시,2008,167.4
광역시,2008,289.5
광역시,2008,124.2
광역시,2008,159.0
광역시,2008,171.2
도,2008,314.9
도,2008,115.8
도,2008,120.5
도,2008,146.9
도,2008,120.2
도,2008,96.8
도,2008,111.7
도,2008,144.6
도,2008,125.2
전국,2008,204.8
수도권,2008,363.4
지방,2008,138.8
서울,2008,573.6
서울,2008,588.9
서울,2008,482.7
서울,2008,782.4
서울,2008,478.2
서울,2008,505.7
광역시,2008,162.2
광역시,2008,163.9
광역시,2008,292.2
광역시,2008,124.8
광역시,2008,158.9
광역시,2008,165.8
도,2008,311.0
도,2008,115.0
도,2008,119.0
도,2008,148.8
도,2008,108.5
도,2008,95.4
도,2008,105.8
도,2008,146.5
도,2008,139.4
전국,2008,187.4
수도권,2008,353.7
지방,2008,135.0
서울,2008,557.9
서울,2008,572.0
서울,2008,469.4
서울,2008,772.6
서울,2008,462.1
서울,2008,487.2
광역시,2008,157.4
광역시,2008,164.5
광역시,2008,280.7
광역시,2008,125.1
광역시,2008,156.6
광역시,2008,158.6
도,2008,300.4
도,2008,106.3
도,2008,114.1
도,2008,138.3
도,2008,110.3
도,2008,96.3
도,2008,106.1
도,2008,143.1
도,2008,128.9
전국,2008,206.0
수도권,2008,384.3
지방,2008,135.1
서울,2008,618.2
서울,2008,651.9
서울,2008,458.5
서울,2008,825.9
서울,2008,467.3
서울,2008,523.4
광역시,2008,157.4
광역시,2008,161.6
광역시,2008,295.9
광역시,2008,122.6
광역시,2008,160.1
광역시,2008,166.3
도,2008,317.7
도,2008,104.8
도,2008,119.1
도,2008,135.8
도,2008,112.2
