지역,연월,평균가격,날짜,기준금리
서울,2006.01,521.3,2006-01-01,
도심권,2006.01,562.6,2006-01-01,
동북권,2006.01,295.0,2006-01-01,
동남권,2006.01,763.9,2006-01-01,
서북권,2006.01,376.2,2006-01-01,
서남권,2006.01,416.4,2006-01-01,
부산,2006.01,151.2,2006-01-01,
대구,2006.01,174.0,2006-01-01,
인천,2006.01,177.0,2006-01-01,
광주,2006.01,115.5,2006-01-01,
대전,2006.01,188.0,2006-01-01,
울산,2006.01,127.2,2006-01-01,
경기,2006.01,308.7,2006-01-01,
강원,2006.01,100.6,2006-01-01,
충북,2006.01,118.4,2006-01-01,
충남,2006.01,131.9,2006-01-01,
전북,2006.01,90.1,2006-01-01,
전남,2006.01,73.9,2006-01-01,
경북,2006.01,95.1,2006-01-01,
경남,2006.01,142.7,2006-01-01,
제주,2006.01,114.9,2006-01-01,
서울,2006.1,494.3,2006-01-01,
도심권,2006.1,578.6,2006-01-01,
동북권,2006.1,330.1,2006-01-01,
동남권,2006.1,825.3,2006-01-01,
서북권,2006.1,396.8,2006-01-01,
서남권,2006.1,434.0,2006-01-01,
부산,2006.1,151.5,2006-01-01,
대구,2006.1,169.4,2006-01-01,
인천,2006.1,194.5,2006-01-01,
광주,2006.1,115.2,2006-01-01,
대전,2006.1,176.7,2006-01-01,
울산,2006.1,150.7,2006-01-01,
경기,2006.1,307.2,2006-01-01,
강원,2006.1,98.6,2006-01-01,
충북,2006.1,120.7,2006-01-01,
충남,2006.1,128.1,2006-01-01,
전북,2006.1,96.4,2006-01-01,
전남,2006.1,78.7,2006-01-01,
경북,2006.1,104.6,2006-01-01,
경남,2006.1,137.7,2006-01-01,
제주,2006.1,131.1,2006-01-01,
서울,2006.02,471.6,2006-02-01,4.0
도심권,2006.02,540.7,2006-02-01,4.0
동북권,2006.02,300.4,2006-02-01,4.0
동남권,2006.02,760.0,2006-02-01,4.0
서북권,2006.02,350.8,2006-02-01,4.0
서남권,2006.02,398.4,2006-02-01,4.0
부산,2006.02,153.1,2006-02-01,4.0
대구,2006.02,169.7,2006-02-01,4.0
인천,2006.02,174.1,2006-02-01,4.0
광주,2006.02,112.9,2006-02-01,4.0
대전,2006.02,178.3,2006-02-01,4.0
울산,2006.02,124.7,2006-02-01,4.0
경기,2006.02,273.4,2006-02-01,4.0
강원,2006.02,101.8,2006-02-01,4.0
충북,2006.02,120.2,2006-02-01,4.0
충남,2006.02,129.0,2006-02-01,4.0
전북,2006.02,89.6,2006-02-01,4.0
전남,2006.02,72.5,2006-02-01,4.0
경북,2006.02,97.3,2006-02-01,4.0
경남,2006.02,130.1,2006-02-01,4.0
제주,2006.02,107.8,2006-02-01,4.0
서울,2006.03,501.2,2006-03-01,4.0
도심권,2006.03,551.6,2006-03-01,4.0
동북권,2006.03,310.1,2006-03-01,4.0
동남권,2006.03,813.4,2006-03-01,4.0
서북권,2006.03,368.7,2006-03-01,4.0
서남권,2006.03,406.8,2006-03-01,4.0
부산,2006.03,150.1,2006-03-01,4.0
대구,2006.03,166.8,2006-03-01,4.0
인천,2006.03,176.3,2006-03-01,4.0
광주,2006.03,113.3,2006-03-01,4.0
대전,2006.03,173.8,2006-03-01,4.0
울산,2006.03,124.9,2006-03-01,4.0
경기,2006.03,286.9,2006-03-01,4.0
강원,2006.03,100.1,2006-03-01,4.0
충북,2006.03,119.1,2006-03-01,4.0
충남,2006.03,124.4,2006-03-01,4.0
전북,2006.03,86.8,2006-03-01,4.0
전남,2006.03,71.6,2006-03-01,4.0
경북,2006.03,97.3,2006-03-01,4.0
경남,2006.03,132.9,2006-03-01,4.0
제주,2006.03,112.4,2006-03-01,4.0
서울,2006.04,451.1,2006-04-01,4.0
도심권,2006.04,534.3,2006-04-01,4.0
동북권,2006.04,307.9,2006-04-01,4.0
동남권,2006.04,758.6,2006-04-01,4.0
서북권,2006.04,364.6,2006-04-01,4.0
서남권,2006.04,380.1,2006-04-01,4.0
부산,2006.04,146.1,2006-04-01,4.0
대구,2006.04,166.2,2006-04-01,4.0
인천,2006.04,179.9,2006-04-01,4.0
광주,2006.04,115.0,2006-04-01,4.0
대전,2006.04,180.6,2006-04-01,4.0
울산,2006.04,130.7,2006-04-01,4.0
경기,2006.04,275.2,2006-04-01,4.0
강원,2006.04,100.8,2006-04-01,4.0
충북,2006.04,113.5,2006-04-01,4.0
충남,2006.04,126.3,2006-04-01,4.0
전북,2006.04,89.1,2006-04-01,4.0
전남,2006.04,73.1,2006-04-01,4.0
경북,2006.04,96.9,2006-04-01,4.0
경남,2006.04,124.8,2006-04-01,4.0
제주,2006.04,109.9,2006-04-01,4.0
서울,2006.05,418.3,2006-05-01,4.0
도심권,2006.05,516.5,2006-05-01,4.0
동북권,2006.05,311.2,2006-05-01,4.0
동남권,2006.05,697.1,2006-05-01,4.0
서북권,2006.05,364.4,2006-05-01,4.0
서남권,2006.05,363.9,2006-05-01,4.0
부산,2006.05,144.9,2006-05-01,4.0
대구,2006.05,164.2,2006-05-01,4.0
인천,2006.05,180.0,2006-05-01,4.0
광주,2006.05,110.8,2006-05-01,4.0
대전,2006.05,176.1,2006-05-01,4.0
울산,2006.05,133.6,2006-05-01,4.0
경기,2006.05,268.7,2006-05-01,4.0
강원,2006.05,99.8,2006-05-01,4.0
충북,2006.05,111.8,2006-05-01,4.0
충남,2006.05,121.7,2006-05-01,4.0
전북,2006.05,88.0,2006-05-01,4.0
전남,2006.05,74.0,2006-05-01,4.0
경북,2006.05,97.2,2006-05-01,4.0
경남,2006.05,123.7,2006-05-01,4.0
